	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M25	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M25	0.6341463414634146	0.6	0.6190476190476191	0.6	0.625	0.6428571428571429	0.6444444444444445	0.5609756097560976	0.5853658536585366	0.631578947368421	0.6470588235294118	0.7045454545454546	0.627906976744186	0.5405405405405406	0.4883720930232558	0.525	0.5652173913043478	0.0	0.6	0.6530612244897959	0.6170212765957447	0.65	0.6666666666666666	0.5526315789473685	0.5675675675675675	0.6744186046511628	0.5581395348837209	0.6097560975609756
M26	0.5263157894736842	0.6	0.55	0.6	0.625	0.5384615384615384	0.5476190476190477	0.5952380952380952	0.6190476190476191	0.6666666666666666	0.6470588235294118	0.5384615384615384	0.6590909090909091	0.5405405405405406	0.5555555555555556	0.627906976744186	0.5333333333333333	0.6	0.0	0.6530612244897959	0.5869565217391305	0.6153846153846154	0.5263157894736842	0.5897435897435898	0.6052631578947368	0.5384615384615384	0.5238095238095238	0.4594594594594595
M27	0.625	0.68	0.64	0.625	0.6896551724137931	0.6326530612244898	0.5510204081632653	0.62	0.5531914893617021	0.6521739130434783	0.6666666666666666	0.6041666666666666	0.6730769230769231	0.5777777777777777	0.6607142857142857	0.62	0.6428571428571429	0.6530612244897959	0.6530612244897959	0.0	0.6607142857142857	0.6382978723404256	0.625	0.7	0.6	0.6041666666666666	0.56	0.6041666666666666
M28	0.5227272727272727	0.7254901960784313	0.574468085106383	0.7	0.7288135593220338	0.5	0.6274509803921569	0.6923076923076923	0.66	0.7551020408163265	0.7777777777777778	0.625	0.7407407407407407	0.6304347826086957	0.5769230769230769	0.6923076923076923	0.5294117647058824	0.6170212765957447	0.5869565217391305	0.6607142857142857	0.0	0.7142857142857143	0.5869565217391305	0.6938775510204082	0.6521739130434783	0.625	0.45652173913043476	0.5
M3	0.65	0.5405405405405406	0.5641025641025641	0.45714285714285713	0.6382978723404256	0.6585365853658537	0.6888888888888889	0.575	0.5641025641025641	0.6842105263157895	0.625	0.6585365853658537	0.575	0.42424242424242425	0.6304347826086957	0.5	0.6086956521739131	0.65	0.6153846153846154	0.6382978723404256	0.7142857142857143	0.0	0.7142857142857143	0.5675675675675675	0.5	0.6585365853658537	0.5714285714285714	0.625
M4	0.5641025641025641	0.5641025641025641	0.6511627906976745	0.6976744186046512	0.5957446808510638	0.4594594594594595	0.475	0.627906976744186	0.6511627906976745	0.5555555555555556	0.5161290322580645	0.5	0.6888888888888889	0.6153846153846154	0.6170212765957447	0.6590909090909091	0.5	0.6666666666666666	0.5263157894736842	0.625	0.5869565217391305	0.7142857142857143	0.0	0.5897435897435898	0.6410256410256411	0.4594594594594595	0.5581395348837209	0.5384615384615384
M5	0.6585365853658537	0.4722222222222222	0.6097560975609756	0.5897435897435898	0.5555555555555556	0.6	0.6046511627906976	0.55	0.6428571428571429	0.5833333333333334	0.59375	0.6976744186046512	0.55	0.5277777777777778	0.5777777777777777	0.5128205128205128	0.5869565217391305	0.5526315789473685	0.5897435897435898	0.7	0.6938775510204082	0.5675675675675675	0.5897435897435898	0.0	0.5555555555555556	0.6	0.6444444444444445	0.6
M6	0.5675675675675675	0.5277777777777778	0.5135135135135135	0.5277777777777778	0.6304347826086957	0.5405405405405406	0.6190476190476191	0.6341463414634146	0.5897435897435898	0.7105263157894737	0.65625	0.6153846153846154	0.6	0.5	0.4878048780487805	0.4	0.5681818181818182	0.5675675675675675	0.6052631578947368	0.6	0.6521739130434783	0.5	0.6410256410256411	0.5555555555555556	0.0	0.5789473684210527	0.48717948717948717	0.5405405405405406
M7	0.4594594594594595	0.575	0.5952380952380952	0.6744186046511628	0.574468085106383	0.43243243243243246	0.45	0.6666666666666666	0.6888888888888889	0.6052631578947368	0.5757575757575758	0.5128205128205128	0.6666666666666666	0.625	0.5957446808510638	0.6046511627906976	0.5111111111111111	0.6744186046511628	0.5384615384615384	0.6041666666666666	0.625	0.6585365853658537	0.4594594594594595	0.6	0.5789473684210527	0.0	0.5681818181818182	0.47368421052631576
M8	0.5238095238095238	0.5909090909090909	0.5116279069767442	0.6222222222222222	0.6666666666666666	0.4634146341463415	0.6041666666666666	0.6170212765957447	0.6086956521739131	0.6818181818181818	0.7	0.5	0.6458333333333334	0.46153846153846156	0.48936170212765956	0.4883720930232558	0.46808510638297873	0.5581395348837209	0.5238095238095238	0.56	0.45652173913043476	0.5714285714285714	0.5581395348837209	0.6444444444444445	0.48717948717948717	0.5681818181818182	0.0	0.4634146341463415
M9	0.37142857142857144	0.6097560975609756	0.48717948717948717	0.6097560975609756	0.6326530612244898	0.3888888888888889	0.4878048780487805	0.6046511627906976	0.5609756097560976	0.6410256410256411	0.6571428571428571	0.5128205128205128	0.6666666666666666	0.5897435897435898	0.5	0.6363636363636364	0.4772727272727273	0.6097560975609756	0.4594594594594595	0.6041666666666666	0.5	0.625	0.5384615384615384	0.6	0.5405405405405406	0.47368421052631576	0.4634146341463415	0.0
