	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M25	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M25	0.707978124497346	0.47008203313495256	0.402123210551713	0.2612192375743928	0.3369792504423355	0.7649187711114686	0.6146855396493486	0.28397941129161974	0.21417082193984235	0.5716583561203152	0.68545922470645	0.5860543670580666	0.18368988258002253	0.15505870998874055	0.19615570210712563	0.19832716744410486	0.656828052115168	0.0	0.25711758082676534	0.2537397458581309	0.5362715135917645	0.10728647257519704	0.7831751648705163	0.2921827247868747	0.12144120958661735	0.7830143155862956	0.3687469840759209	0.6123532250281486
M26	0.6492681357567959	0.5943381051954318	0.47522921023001446	0.22430432684574553	0.5353868425285507	0.6836094579379122	0.6862634711275535	0.1370435901560238	0.21674441048737333	0.7123210551713045	0.8478365771272318	0.5013672189158759	0.3075438314299501	0.20773685057101496	0.2627473057744893	0.3201705002412739	0.584285024931639	0.25711758082676534	0.0	0.21803120476113882	0.48753418047289687	0.3244330062731221	0.7477078976998552	0.4688756635032974	0.17090236448447804	0.6989705645809876	0.30400514717709504	0.5356281164548817
M27	0.6041499115328937	0.44217468232266366	0.4147498793630368	0.29507801190284705	0.4995978767894483	0.6195914428180794	0.6181437992600933	0.33159079942094255	0.16076885957857487	0.6507962039568924	0.8085089271352742	0.4716905259771594	0.205163262023484	0.2877593694708059	0.20757600128679426	0.2625864564902686	0.5545279073508123	0.2537397458581309	0.21803120476113882	0.0	0.4515039408074634	0.29210230014476435	0.6783014315586295	0.3405179346951906	0.25583078655299984	0.6764516647900917	0.2753739745858131	0.4669454720926492
M28	0.1980054688756635	0.6151680875020106	0.25526781405822746	0.5785748753418047	0.5554930030561364	0.2559112111951102	0.5913623934373492	0.5921666398584526	0.5649026861830465	0.7375743927939521	0.8243525816310118	0.08380247707897699	0.5418208138973781	0.5571014958983432	0.3831429950136722	0.52581631011742	0.13085089271352743	0.5362715135917645	0.48753418047289687	0.4515039408074634	0.0	0.5306417886440405	0.29210230014476435	0.4886601254624417	0.5299179668650474	0.26845745536432364	0.28108412417564743	0.09787678944828695
M3	0.7087823709184494	0.4575357889657391	0.35531606884349365	0.33199292263149427	0.3101174199774811	0.7664468393115651	0.5949815023323146	0.3686665594338105	0.2938716422711919	0.5508283738137365	0.664790091684092	0.5729451503940808	0.17428019945311243	0.1978446195914428	0.1865047450538845	0.18240308830625704	0.6453273282933891	0.10728647257519704	0.3244330062731221	0.29210230014476435	0.5306417886440405	0.0	0.7503619108894966	0.27786713849123373	0.17733633585330547	0.7857487534180473	0.404455525172913	0.613398745375583
M4	0.1604471610101335	0.6835290332958018	0.46139617178703557	0.8273282933890944	0.7198809715296767	0.18465497828534663	0.5246099404857648	0.8564420138330384	0.8168730899147498	0.6720283094740228	0.7505227601737172	0.292263149428985	0.7554286633424482	0.7788322341965578	0.6265883866816793	0.7510053080263793	0.19792504423355317	0.7831751648705163	0.7477078976998552	0.6783014315586295	0.29210230014476435	0.7503619108894966	0.0	0.6616535306417887	0.7768216181437992	0.23926331027826928	0.5452790735081229	0.27915393276499917
M5	0.6542544635676372	0.2517291298053724	0.2823709184494129	0.5212321055171304	0.2302557503619109	0.6753257198005469	0.4613157471449252	0.5658677818883706	0.3820974746662377	0.39609136239343734	0.5934534341322181	0.5451986488660125	0.2618626347112755	0.4020427859096027	0.36191088949654177	0.32877593694708057	0.6072060479330867	0.2921827247868747	0.4688756635032974	0.3405179346951906	0.4886601254624417	0.27786713849123373	0.6616535306417887	0.0	0.3862795560559755	0.7296927778671385	0.5518738941611709	0.5185780923274892
M6	0.7115972333923114	0.4838346469358211	0.4038121280360302	0.20958661733955283	0.4157953997104713	0.7637124014798135	0.6390542062087824	0.2036351938233875	0.16133183207334728	0.6475792182724787	0.7111951101817597	0.5749557664468393	0.20677175486569085	0.10221972012224545	0.1932604149911533	0.21360784944506997	0.6461315747144926	0.12144120958661735	0.17090236448447804	0.25583078655299984	0.5299179668650474	0.17733633585330547	0.7768216181437992	0.3862795560559755	0.0	0.7818079459546405	0.37308991474987935	0.6124336496702589
M7	0.10583882901721087	0.7870355476918127	0.5110986006112272	0.797410326524047	0.7633102782692617	0.10575840437510053	0.6778188837059675	0.8056940646614122	0.8013511339874537	0.8229853627151359	0.9216663985845263	0.2232588064983111	0.7810036995335371	0.8130931317355637	0.6268296606080103	0.768779153932765	0.14806176612514074	0.7830143155862956	0.6989705645809876	0.6764516647900917	0.26845745536432364	0.7857487534180473	0.23926331027826928	0.7296927778671385	0.7818079459546405	0.0	0.4403249155541258	0.23379443461476596
M8	0.42271191893196075	0.6775776097796364	0.3361750040212321	0.3930352259932443	0.6285185780923275	0.46220041820813895	0.6702589673475953	0.39810197844619594	0.39424159562489947	0.8017532571980055	0.90373170339392	0.26435579861669617	0.4038121280360302	0.4027666076885958	0.23564420138330383	0.3907029113720444	0.35266205565385234	0.3687469840759209	0.30400514717709504	0.2753739745858131	0.28108412417564743	0.404455525172913	0.5452790735081229	0.5518738941611709	0.37308991474987935	0.4403249155541258	0.0	0.3278912658838668
M9	0.16414669454720926	0.586376065626508	0.33778349686343895	0.615731059996783	0.5739906707415152	0.18111629403249155	0.5755187389416118	0.6485443139778028	0.5808267653208943	0.7060479330866978	0.846951906064018	0.10254141869068682	0.5689239182885636	0.6409039729773203	0.4517452147337944	0.5702911372044395	0.11999356602863118	0.6123532250281486	0.5356281164548817	0.4669454720926492	0.09787678944828695	0.613398745375583	0.27915393276499917	0.5185780923274892	0.6124336496702589	0.23379443461476596	0.3278912658838668	0.0
