	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M19	0.8608276416231418	0.6632382482924869	0.6621936520691041	0.8483728404981921	0.49513860988348735	0.8832462836480515	0.3672961028525512	0.8740056247488951	0.8263559662515066	0.3948573724387304	0.0	0.8881478505423865	0.669666532744074	0.7349136199276818	0.7162715950180796	0.641462434712736	0.8910405785456006	0.8670952189634391	0.8216151064684613	0.8347127360385697	0.6729610285255122	0.7758939333065488	0.6130976295701085	0.7303334672559261	0.9371635194857373	0.9149859381277622	0.8593009240658899
M2	0.23631980715146644	0.7083165930092407	0.3299316994777019	0.6436319807151466	0.6264363198071514	0.29385295299316994	0.6608276416231418	0.6368019284853355	0.6110887906789876	0.7944556046605062	0.8881478505423865	0.0	0.5865809562073122	0.6115709120128565	0.42860586580956206	0.5842507030936119	0.1734833266372037	0.5210928083567697	0.4855765367617517	0.13860988348734432	0.581759742868622	0.40369626355966254	0.5766974688629972	0.5841703495379671	0.27263961430293293	0.29578143832864606	0.15492165528324628
M20	0.7589393330654881	0.4965849738850944	0.5129770992366413	0.34704700683005224	0.3435114503816794	0.7405383688228204	0.592607472880675	0.38352752109280835	0.284933708316593	0.5785456006428285	0.669666532744074	0.5865809562073122	0.0	0.2534351145038168	0.2749698674166332	0.20257131378063478	0.6655685014061872	0.3575733226195259	0.3014865407794295	0.5695460024106067	0.2799517878666131	0.7909200482121334	0.3210928083567698	0.2461229409401366	0.7979108075532342	0.4568903173965448	0.6462032944957814
M21	0.7724387304138208	0.5206910405785456	0.49811169144234635	0.284933708316593	0.42788268380875855	0.8090799517878666	0.6958617918842909	0.28565689031739655	0.2822820409803134	0.6720771394134191	0.7349136199276818	0.6115709120128565	0.2534351145038168	0.0	0.27979108075532344	0.2585777420650864	0.6793089594214544	0.2531137002812374	0.4015267175572519	0.5782241864202491	0.22274005624748894	0.8085174768983527	0.41558858979509844	0.15090397750100443	0.828123744475693	0.44660506227400565	0.661229409401366
M22	0.5972679791080755	0.585697067095219	0.38867014865407795	0.4332663720369626	0.42402571313780635	0.6338288469264765	0.5617517075130575	0.43591803937324225	0.39622338288469267	0.6122137404580152	0.7162715950180796	0.42860586580956206	0.2749698674166332	0.27979108075532344	0.0	0.23720369626355967	0.5031739654479711	0.2972278023302531	0.3068702290076336	0.4250703093611892	0.26195259140216953	0.6862193652069104	0.4182402571313781	0.2372840498192045	0.6467657693852953	0.26002410606669346	0.473603856970671
M23	0.7117717959019687	0.4781840096424267	0.47553234230614705	0.42748091603053434	0.3353957412615508	0.7835275210928083	0.585697067095219	0.4171956609079952	0.3803937324226597	0.5752511048613901	0.641462434712736	0.5842507030936119	0.20257131378063478	0.2585777420650864	0.23720369626355967	0.0	0.6524708718360788	0.33531538770590597	0.37621534752912816	0.5421454399357172	0.2334270791482523	0.7721976697468863	0.37677782241864205	0.2278023302531137	0.7856167135395741	0.4139815186822017	0.5783848935315388
M24	0.13997589393330656	0.7272800321414222	0.3709120128565689	0.703736440337485	0.6536761751707513	0.18850944154278826	0.6727199678585778	0.6883085576536762	0.6813981518682202	0.7987143431096826	0.8910405785456006	0.1734833266372037	0.6655685014061872	0.6793089594214544	0.5031739654479711	0.6524708718360788	0.0	0.5920449979911611	0.57774206508638	0.13563680192848535	0.6512655685014062	0.2679791080755323	0.6188830855765367	0.6522298111691442	0.17107271996785858	0.4235435918039373	0.20972278023302532
M26	0.6615508236239453	0.5998392928887103	0.48871032543190035	0.33177983125753313	0.5550020088388912	0.7250301325833668	0.7562876657292085	0.21494576134993973	0.33692245881880273	0.7519485737243873	0.8670952189634391	0.5210928083567697	0.3575733226195259	0.2531137002812374	0.2972278023302531	0.33531538770590597	0.5920449979911611	0.0	0.33515468059461634	0.5055042185616714	0.35090397750100444	0.7869023704298915	0.48324628364805144	0.20016070711128967	0.7121735636801928	0.3396544797107272	0.5382081157091201
M27	0.6511048613901165	0.5989554037766172	0.4635596625150663	0.41237444756930497	0.5300924065889916	0.6350341502611491	0.685415829650462	0.4407392527119325	0.25263157894736843	0.7007633587786259	0.8216151064684613	0.4855765367617517	0.3014865407794295	0.4015267175572519	0.3068702290076336	0.37621534752912816	0.57774206508638	0.33515468059461634	0.0	0.5083165930092407	0.4015267175572519	0.7273603856970671	0.3777420650863801	0.35789473684210527	0.6999598232221775	0.3641623141824026	0.5476094817195661
M28	0.2185616713539574	0.6643631980715147	0.28348734431498596	0.6331860184813178	0.5780634793089594	0.2756126958617919	0.6213740458015267	0.6183206106870229	0.601928485335476	0.7411008437123343	0.8347127360385697	0.13860988348734432	0.5695460024106067	0.5782241864202491	0.4250703093611892	0.5421454399357172	0.13563680192848535	0.5055042185616714	0.5083165930092407	0.0	0.5509843310566492	0.3333869023704299	0.5287263961430293	0.5529931699477701	0.2741663318601848	0.38047408597830457	0.18971474487746082
