	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M19	0.7340425531914894	0.6125	0.7333333333333333	0.6931818181818182	0.6136363636363636	0.7	0.611764705882353	0.627906976744186	0.6506024096385542	0.47297297297297297	0.0	0.7204301075268817	0.6666666666666666	0.6375	0.71875	0.6781609195402298	0.6808510638297872	0.7261904761904762	0.6847826086956522	0.7428571428571429	0.6623376623376623	0.6172839506172839	0.6052631578947368	0.7073170731707317	0.6976744186046512	0.7549019607843137	0.75
M2	0.5263157894736842	0.5652173913043478	0.5483870967741935	0.6534653465346535	0.638095238095238	0.4318181818181818	0.5212765957446809	0.6504854368932039	0.6145833333333334	0.6464646464646465	0.7204301075268817	0.0	0.6	0.5869565217391305	0.5306122448979592	0.5217391304347826	0.55	0.5617977528089888	0.594059405940594	0.5566037735849056	0.6373626373626373	0.6	0.648936170212766	0.5888888888888889	0.47126436781609193	0.52	0.4367816091954023
M20	0.696078431372549	0.5465116279069767	0.5617977528089888	0.5978260869565217	0.5054945054945055	0.5444444444444444	0.5652173913043478	0.5494505494505495	0.5348837209302325	0.5730337078651685	0.6666666666666666	0.6	0.0	0.5357142857142857	0.6161616161616161	0.4823529411764706	0.6336633663366337	0.5930232558139535	0.5164835164835165	0.6727272727272727	0.5375	0.6595744680851063	0.5	0.5	0.6304347826086957	0.5757575757575758	0.6701030927835051
M21	0.673469387755102	0.5301204819277109	0.5294117647058824	0.425	0.5851063829787234	0.5934065934065934	0.6129032258064516	0.4823529411764706	0.48148148148148145	0.6373626373626373	0.6375	0.5869565217391305	0.5357142857142857	0.0	0.5274725274725275	0.4444444444444444	0.5483870967741935	0.5783132530120482	0.5494505494505495	0.638095238095238	0.5194805194805194	0.6630434782608695	0.5555555555555556	0.4605263157894737	0.6483516483516484	0.5625	0.6304347826086957
M22	0.5454545454545454	0.5531914893617021	0.5368421052631579	0.6138613861386139	0.6	0.5052631578947369	0.5408163265306123	0.6116504854368932	0.5876288659793815	0.6730769230769231	0.71875	0.5306122448979592	0.6161616161616161	0.5274725274725275	0.0	0.46153846153846156	0.5392156862745098	0.5806451612903226	0.5825242718446602	0.6228070175438597	0.5934065934065934	0.6568627450980392	0.6210526315789474	0.5113636363636364	0.5876288659793815	0.48	0.4946236559139785
M23	0.6122448979591837	0.47619047619047616	0.47674418604651164	0.5333333333333333	0.5368421052631579	0.5274725274725275	0.5638297872340425	0.5164835164835165	0.5340909090909091	0.6021505376344086	0.6781609195402298	0.5217391304347826	0.4823529411764706	0.4444444444444444	0.46153846153846156	0.0	0.5157894736842106	0.5411764705882353	0.5319148936170213	0.5943396226415094	0.5365853658536586	0.65625	0.48148148148148145	0.3815789473684211	0.5978260869565217	0.4842105263157895	0.5652173913043478
M24	0.5784313725490197	0.5876288659793815	0.5263157894736842	0.6176470588235294	0.616822429906542	0.5408163265306123	0.56	0.6019417475728155	0.5918367346938775	0.6634615384615384	0.6808510638297872	0.55	0.6336633663366337	0.5483870967741935	0.5392156862745098	0.5157894736842106	0.0	0.5698924731182796	0.6132075471698113	0.5892857142857143	0.6129032258064516	0.5625	0.5806451612903226	0.5494505494505495	0.4835164835164835	0.5145631067961165	0.53125
M26	0.5287356321839081	0.6206896551724138	0.5357142857142857	0.5747126436781609	0.6210526315789474	0.5681818181818182	0.5888888888888889	0.5730337078651685	0.5930232558139535	0.6739130434782609	0.7261904761904762	0.5617977528089888	0.5930232558139535	0.5783132530120482	0.5806451612903226	0.5411764705882353	0.5698924731182796	0.0	0.5869565217391305	0.5463917525773195	0.6	0.625	0.5802469135802469	0.5443037974683544	0.5421686746987951	0.4888888888888889	0.5060240963855421
M27	0.6476190476190476	0.6041666666666666	0.5268817204301075	0.5918367346938775	0.5643564356435643	0.5263157894736842	0.5612244897959183	0.5757575757575758	0.5164835164835165	0.64	0.6847826086956522	0.594059405940594	0.5164835164835165	0.5494505494505495	0.5825242718446602	0.5319148936170213	0.6132075471698113	0.5869565217391305	0.0	0.6637931034482759	0.5842696629213483	0.5789473684210527	0.5978260869565217	0.5	0.5789473684210527	0.5849056603773585	0.6336633663366337
M28	0.5428571428571428	0.6697247706422018	0.6296296296296297	0.6696428571428571	0.6779661016949152	0.5619047619047619	0.6306306306306306	0.6428571428571429	0.6481481481481481	0.6636363636363637	0.7428571428571429	0.5566037735849056	0.6727272727272727	0.638095238095238	0.6228070175438597	0.5943396226415094	0.5892857142857143	0.5463917525773195	0.6637931034482759	0.0	0.719626168224299	0.6226415094339622	0.5858585858585859	0.6274509803921569	0.5252525252525253	0.5092592592592593	0.5943396226415094
